Name,Ratings(Reliability),Durability,Power,Control,Feel,Comfort,Spin,Tension Stability,Overall,Performance-Price Ratio
Toalson Bio Logic 128 16,5,4,11,42,3,28,42,42,6,
Wilson Ultimate Duo 16L/16,5,14,17,22,17,3,17,14,15,1.11
Signum Pro Ultra Power SF 1.33,5,3,14,14,14,25,11,7,12,2.00
Babolat Hybrid Pro Hurricane + VS Team 1.25/1.25,5,17,20,31,36,25,20,11,23,1.10
Pacific Classic Gut 17,5,4,22,28,31,28,14,34,23,1.38
Forten Sweet 16 16,5,7,6,6,6,14,3,4,3,
Gamma Synthetic Gut 17,5,42,3,11,11,23,33,23,8,3.00
Kirschbaum Hybrix Power 1.25/1.30,5,6,14,8,25,22,17,18,16,
Gaucho Natural Gut 16,5,18,17,11,25,25,8,20,18,1.79
Dunlop Explosive 1.25,5,21,17,14,3,42,11,11,11,1.78
Pro Supex Blue Gear 1.19,5,25,14,25,17,11,25,22,20,2.95
Pro Supex Synthetic Gut Titan 16L,5,7,3,14,17,17,3,11,9,
Eagnas Feeling 17,5,8,6,25,34,34,20,42,16,2.44
Oehms Co-Poly Gen III Red 1.22,5,6,20,20,11,11,17,11,14,
Prince Synthetic Gut DF 18,5,20,17,11,17,8,11,7,7,2.75
Wilson Extreme Synthetic Gut 15,5,8,6,17,8,42,42,42,4,1.50
Babolat Hybrid Pro Hurricane Tour + XCel 17/16,5,6,22,17,14,31,20,21,19,
Gamma Advantage 15L,5,11,6,14,6,21,14,14,12,
Pro Supex Premier Ace 17L,5,22,8,36,17,17,28,28,22,
Babolat Tour Long Life 1.35,5,11,11,25,25,37,14,28,22,
Babolat Tour Duralast 1.35,5,22,6,14,6,8,39,8,11,
Pacific Poly Spin 16,5,25,11,22,14,7,21,7,15,
Prince Topspin Plus 16,5,11,8,14,6,28,18,7,10,2.33
Wilson NXT Tour 18,5,4,17,25,34,25,34,5,19,1.69
Tecnifibre X-One 1.24,5,6,36,22,36,22,11,11,19,
Atlanta Poly X 17,5,14,34,39,17,17,31,34,26,
Tecnifibre TS 60 1.38,5,20,14,11,3,5,42,19,5,4.00
Gamma TNT Fat Core 16,5,4,22,17,11,14,7,42,16,1.38
Gamma Ruff 16,5,8,3,17,6,6,25,42,6,
Tyger Boron 1.30,5,8,11,14,31,31,42,11,13,
Pro's Pro Comfort Plus 1.35,5,4,8,3,8,22,3,4,2,
RAJ Poly-Twist 1.28,5,9,17,3,6,8,14,9,7,
MSV Elastic Poly 1.30,5,17,8,14,11,6,17,20,13,
Kirschbaum Basic Profi Tour 1.25,5,25,17,11,17,4,14,17,3,
Kirschbaum Basic Profi Tour 1.30,5,11,11,11,6,9,5,5,4,
Pacific Syntec 16L,5,4,42,6,42,7,42,4,2,
Keller Sports Punisher 1.22,5,42,20,11,8,3,8,42,6,
Laserfibre Laser Supreme 17,5,3,17,20,28,25,5,32,18,2.17
Toalson Cyberblade Tour Thermaxe 123 1.23,5,17,8,31,17,11,11,25,17,
Kirschbaum Touch Turbo 1.275,5,17,3,3,3,17,3,4,7,1.25
Gamma TNT Fat Core 17,5,6,17,25,17,33,19,23,20,1.75
racketservice.de Poly Power 1.20,5,8,17,20,8,42,14,14,5,
MSV Synthetic Gut Synergy 1.25,5,22,14,20,17,28,9,5,10,
MSV Big Poly 1.22,5,3,18,14,8,6,11,42,8,
MSV Spin Plus 1.39,5,8,11,8,3,42,42,28,5,
MSV Response 15L,5,8,20,11,8,14,42,7,8,
Tennisoutlet Black Spider Tour 1.20,4,21,14,32,32,21,28,25,25,
Topspin Polytech Evo 1.25,4,11,42,14,14,14,11,5,10,
MSV Go Max 1.20,4,14,11,25,28,7,25,18,18,
Isospeed V18 1.17,4,14,25,21,28,18,21,14,20,
Gosen Polylon Comfort 17,4,14,42,21,18,18,21,9,14,2.67
Signum Pro Plasma HEXtreme 1.20,4,19,21,21,18,9,32,9,13,
MSV Soft-Touch 1.25,4,14,32,25,11,18,14,5,15,
Tennisman Phaser 1.18,4,14,4,25,4,14,4,14,11,
Dyreex Powermax 1.25,4,18,35,18,32,25,7,18,22,
Yonex Poly Tour Spin 1.20,4,19,4,32,18,11,28,23,18,2.08
MSV EVO-HEX 1.20,4,5,21,42,4,7,18,14,4,
Kirschbaum Max. Power Rough 1.20,4,5,14,18,14,5,18,21,12,
Klip Legend 15L,4,5,21,25,32,21,18,25,21,1.15
Discho Iontec Black 1.20,4,28,4,11,18,18,14,18,16,3.14
RS Lyon 1.25,4,5,7,32,28,32,25,28,20,
Oehms Crystaline Pure Poly 1.18,4,9,4,11,4,18,19,42,1,
Signum Pro Thunderstorm 1.30,4,21,25,14,11,9,32,28,20,
Signum Pro Triton 1.18,4,5,42,25,4,11,11,7,7,
Starburn Vortex Turbo6 1.25,4,18,25,25,28,25,25,14,23,
Solinco Revolution 18,4,23,21,21,28,28,21,32,25,3.50
Discho Proton 8 1.25,4,28,42,25,11,14,25,18,17,
Tecnifibre HDX Tour 1.30,4,42,11,21,25,28,14,21,17,
Oehms Sonic Speed 1.24,4,42,18,11,7,7,14,7,9,
MSV Focus - HEX® SOFT 1.25,4,19,11,18,4,4,28,18,14,
Pacific X Force 16L,4,32,14,28,14,14,11,18,18,2.00
Diadem Solstice Power 17,4,14,18,25,18,21,39,14,21,2.14
Polyfibre Tour Player Green Touch 1.23,4,14,18,32,32,18,21,23,22,
Black Skull Saw 1.25,4,42,14,21,14,14,32,19,16,
Luxilon Savage Lime 1.27,4,18,4,18,11,4,25,35,15,1.62
Big Star Square 1.20,4,14,4,7,4,7,11,11,6,
Dyreex Darkwave 1.25,4,5,7,28,28,28,18,18,19,3.18
Polyfibre Rapid 1.20,4,7,25,18,11,21,18,7,13,1.36
Solinco Outlast 17,4,19,18,14,11,11,14,9,13,2.38
Big Star Potenza 1.23,4,42,11,32,25,21,14,14,17,
Polyfibre Tour Player Rough 1.25,4,28,11,32,7,4,18,14,12,
Prince Tour XP 17,4,42,7,11,14,14,7,18,10,0.93
Toalson Neo Natural mugen 125 1.25,4,14,25,21,35,42,9,7,16,1.15
Solinco Barb Wire 17,4,7,7,11,42,11,28,5,5,
MSV Soft-Control 1.30,4,5,7,21,7,14,11,14,11,
Prince Synthetic Gut Poly Blend 17/16,4,7,11,18,4,14,14,11,11,
Pro Supex Big Ace 1.28,4,25,11,28,11,14,21,25,19,
Pro's Pro Lethal 5 1.24,4,4,7,11,4,11,25,11,9,
Prince Tournament Poly 16,4,5,11,7,4,7,4,23,5,
Polyfibre Tour Player 1.23,4,14,14,25,14,7,21,23,13,
Gamma iO Soft 1.23,4,21,21,25,25,25,21,28,24,
Wilson NXT Control 16,4,7,21,14,25,25,4,7,15,
Solinco Tour Bite Hybrid 17/16,4,4,4,11,11,4,14,11,7,0.83
Babolat VS Team BT7 1.25,4,23,28,21,25,28,21,33,25,0.84
Pro's Pro Cyclone 1.10~1.45,4,42,18,11,7,11,18,14,11,
Pacific PMX 16L,4,5,7,18,32,35,4,4,14,1.43
Klip K-Boom 17,4,14,11,21,14,7,21,18,15,1.75
Babolat RPM Team 17,4,4,18,28,25,21,21,25,20,1.81
Solinco Tour Bite 1.10,4,25,25,25,25,11,39,7,15,1.75
Procord Woofer 1.25,4,18,18,42,25,21,25,39,26,
Ashaway Crossfire 18/16,4,33,4,28,14,21,21,21,10,2.14
Babolat Hybrid Pro Hurricane Tour + VS Team 16/16,4,4,25,21,25,25,7,23,17,
Pacific Basalt NXS 16L,4,42,21,18,18,28,14,23,17,
Oehms White Pearl Penta 1.24,4,25,14,25,21,18,21,19,20,
Signum Pro Kevlar Speed 1.30,4,5,18,18,28,28,4,21,16,
Dunlop Explosive 1.30,4,18,35,14,14,14,14,14,18,2.78
Head ETS 16,4,21,25,4,21,25,7,42,12,1.64
Luxilon Monotec Zolo 16L,4,14,18,25,11,11,28,25,18,
Prince Synthetic Gut Original 17,4,42,42,4,11,28,7,42,7,2.50
Dunlop S-Gut 16,4,4,7,25,32,28,42,14,16,5.50
Wilson Extreme Synthetic Gut 17,4,9,7,7,4,7,11,42,6,2.25
Dunlop Juice 17,4,18,7,25,14,11,14,14,12,
Still in Black Booster 17,4,19,11,23,28,14,11,23,18,2.26
Babolat Duralast 17,4,21,4,18,4,7,18,7,8,
Kirschbaum Basic Polyester 1.25,4,11,7,11,7,9,5,42,7,
Topspin Cyber Twirl Red 1.27,4,9,7,4,7,14,11,5,6,
Pro's Pro Cyber Power Titan 1.25,4,14,4,14,4,14,18,21,9,
Prince Premier Attack 17,4,19,11,18,18,28,14,21,18,2.74
Blindtest String18 1.25,4,1,11,21,11,14,28,42,12,
Isospeed Baseline Control 1.30,4,14,4,21,14,18,9,11,9,
Gamma Dura Spin 16,4,42,4,25,25,18,14,7,12,3.15
Tecnifibre E-Matrix 17,4,14,4,21,23,18,21,14,12,3.60
Pacific Poly Basic 1.25,4,7,7,42,11,5,5,21,4,
MSV EVO-HEX 1.25,4,14,14,7,11,18,11,4,11,
Toalson Cyber Spin 135 15L,4,42,11,11,11,4,21,14,10,
Unifibre Natural Gut 16,4,28,14,14,32,32,7,9,11,1.07
Signum Pro Poly Power 1.30,4,32,11,21,11,42,14,18,15,
Gamma Asterisk Spin 16,4,14,42,11,7,42,4,5,42,0.00
Kirschbaum Long Life 1.38,4,37,4,7,7,42,4,14,5,
Wilson [K] Gut 17,4,5,11,18,28,28,18,4,16,1.02
Pro's Pro Revoltec 1.17,4,42,18,11,11,25,42,11,11,
Prince Lightning XX 17,4,14,14,25,28,28,14,14,19,4.67
361nation 361 16,4,28,4,21,14,7,18,35,18,
Polyfibre Hexablade 1.20,4,42,4,7,7,4,25,4,5,0.56
Golden Set Hex-Poly 16L,4,42,42,7,7,7,18,14,8,2.75
Gamma TNT2 Fusion Plus 19/17,4,7,4,25,18,14,21,5,12,1.42
Pro's Pro Super Power 1.30,4,5,4,4,11,11,14,11,4,
Spintex Natural Pro 16,4,42,21,18,21,35,7,14,17,0.83
Unique Tourna Poly Big Hitter Silver 16,4,33,7,28,21,14,7,11,17,2.50
Kirschbaum Hybrix Power 1.30/1.30,4,28,25,25,21,35,7,14,22,
Wilson Ultra Synthetic Gut 16,4,42,7,4,7,21,42,5,6,
Match Pro Clay-Power Pentagon 1.25,4,14,4,7,4,7,25,14,10,
Babolat Hybrid Pro Hurricane Tour + VS Team 1.25/1.25,4,25,28,21,32,21,25,11,23,
Babolat Pro Hurricane 15L,4,28,25,4,42,18,11,18,15,1.75
Ashaway Kevlar 17,4,37,4,25,4,7,21,21,13,
Signum Pro Plasma HEXtreme Pure / Plasma Pure 1.25/1.23,4,28,25,28,21,21,32,14,24,
Dunlop Max Comfort 17,4,42,14,14,21,32,4,42,12,2.43
Pacific Nyltec 15L,4,7,4,14,7,11,7,42,7,
Pacific Power Line 1 16L,4,5,14,28,21,35,14,9,17,
Topspin Cyber Blue / Fibretouch 1.25/1.32,4,7,11,25,25,35,9,7,15,
Wilson Adrenaline 1.30,4,5,18,7,14,21,18,42,7,1.43
Gamma DuraBlast 16,4,11,7,42,4,9,5,9,3,1.00
Wilson [K] Gut Pro 17,4,11,7,21,7,28,42,11,6,0.42
Prince Synthetic Gut Multifilament 17,4,14,7,7,21,35,21,7,2,0.33
Pro's Pro Poly Gut 1.20,4,4,14,11,11,7,9,9,4,
Tecnifibre Polyspin 1.25,4,18,4,11,42,14,11,11,3,1.14
Global Premium Gut 16,4,9,11,18,18,18,18,14,15,
Head Synthetic Gut 1.20,4,4,14,14,7,14,9,42,9,3.25
Babolat Tour Extreme 1.20,4,42,21,21,21,21,19,14,17,
Pacific Poly Gut Blend 17/16,4,19,18,28,21,35,32,28,26,
Comido Big Dyno 1.25,4,42,11,14,14,14,18,4,11,
Pacific Power Twist 16,4,14,14,25,28,42,14,14,22,
Wilson Sensation Supreme 16,4,14,11,7,7,7,42,4,2,0.50
Tennisoutlet Green Mamba (No. 5) 1.20,4,7,28,25,28,21,35,42,20,
Gosen Polylon Ice 16,4,33,7,25,7,4,7,7,10,4.67
Pro's Pro Hexaspin / Plus Power 1.25/1.23,4,7,28,28,18,18,32,14,20,
Laserfibre Laser Tour 17,4,4,14,25,21,21,21,28,18,2.60
Gosen Tecgut Super Tec AK Pro 17,4,5,4,21,25,19,9,7,11,2.29
Pro's Pro Maxim 1.25,4,42,4,5,42,4,14,14,9,
Gosen OG-Sheep Micro Super JC 17,4,42,18,28,25,42,14,21,21,6.00
Target Pure Power 1.25,4,7,18,18,25,21,18,14,17,
Head Rip Ti.Fiber 17L,4,21,4,21,18,19,19,23,18,2.78
Gosen Tecgut Super Tec AK Speed 16,4,11,4,32,25,14,14,28,18,4.00
Topspin Energy 1.30,4,5,21,25,28,32,11,14,18,
Topspin Polytech 1.25,4,14,14,21,14,14,4,7,12,
Klip Excellerator 16,4,9,14,18,25,21,11,28,18,1.92
Tecnifibre X-Tra Dynamic 1.33,4,7,18,28,28,32,18,7,19,
Pacific X Force 17,4,14,18,11,18,25,28,9,17,1.92
Babolat Fibertour 16,4,9,42,21,21,14,7,5,7,0.67
Gamma TNT Fusion Plus 19/17,4,32,42,32,25,42,42,35,30,3.82
Signum Pro Plasma HEXtreme Pure / Plasma Pure 1.25/1.18,4,21,4,21,11,7,7,19,8,
Babolat VF Titanium 15L,4,11,7,28,28,28,28,14,17,3.43
Signum Pro Plasma Pure 1.28,4,25,42,14,11,42,11,32,13,2.11
Isospeed Tournament 17,4,18,21,28,28,25,21,28,24,
Babolat Tour Long Life 1.40,4,4,11,11,7,14,14,28,4,
Laserfibre Supernatural Pro Stock 17,4,14,32,35,35,28,28,28,25,1.75
BDE Multi 360 1.27,4,5,11,7,14,32,4,42,8,
Gamma XL 16,4,25,14,28,21,21,42,14,13,2.38
Comido Poly Power 1.10,4,7,18,11,28,14,14,9,10,
Tecnifibre Tournament 1.32,4,9,4,11,42,25,7,7,8,
Babolat Challenge Pro 17,4,14,42,42,4,5,5,7,1,
Head Radical Profibre 17L,4,14,11,14,11,28,42,42,5,0.58
Pacific Poly Power 17,4,42,7,11,4,42,4,4,2,0.50
Tecnifibre TRC 16,4,4,7,32,25,33,33,21,22,3.10
Pro's Pro SynPower 1.25,4,7,18,4,7,21,4,4,6,
Wilson Sensation NXT 15L,4,32,14,18,18,28,7,14,17,1.85
Babolat XCel 15L,4,14,18,28,21,35,4,18,19,1.75
RAJ Poly Top Deluxe 1.28,4,14,18,14,14,11,7,42,11,
Babolat VS Fibergut Fiberace 1.25,4,4,14,21,25,28,28,21,20,3.22
MSV Synthetic Gut Synergy 1.30,4,11,32,11,25,14,42,28,17,
Target Highspeed Twinflex 1.28,4,14,25,18,25,35,21,21,18,
Pacific Poly Soft 16,4,4,18,11,4,28,42,42,8,1.83
Tecnifibre Spinfire 1.30,4,19,14,21,11,14,11,5,9,
Polystar Titan 16L,4,4,18,14,11,14,35,7,15,
Klipper Synthetic Gut Ultra-Fibre 17,4,42,4,14,11,14,42,14,4,1.62
racketservice.de Super Fiber 1.30,4,4,11,14,18,7,7,14,8,
Dunlop Plus Allround Titanium 1.25,4,28,32,21,21,7,14,7,9,
Klipper Zyex 16,4,14,4,32,32,33,14,19,20,2.33
Toalson Cyber Spin 15L,4,11,7,4,4,7,14,14,4,
Target Dynaforce TFT 16,4,11,32,28,32,21,9,21,13,
Dunlop Hexy Fiber 16,3,7,14,42,19,23,14,14,9,
Tecnifibre Ice Code 1.25,3,14,19,23,28,9,23,9,18,
LaserTec Super Cube 1.18,3,7,5,23,14,9,19,23,14,
Head Velocity MLT 16,3,21,5,28,28,28,23,33,24,
LaserTec Super Cube 1.13,3,19,19,19,5,14,19,14,15,
Yonex Poly Tour Drive 1.25,3,14,5,19,5,9,5,14,6,0.75
Yonex Poly Tour Strike 1.25,3,35,5,42,28,19,14,37,26,
Pro's Pro Blackout 1.28,3,42,14,37,42,42,28,35,12,
Discho Black Mamba 1.23,3,7,14,19,14,19,5,14,13,
Yonex Poly Tour Fire 1.20,3,28,5,28,5,5,23,19,15,
Dyreex Hexablast 1.30,3,42,5,42,9,9,23,37,23,
Tennisman Phaser 1.23,3,1,14,19,19,14,9,14,13,
Ashaway MonoGut ZX 16,3,19,23,5,19,37,23,33,23,
Discho Black Mamba 1.18,3,7,9,23,14,14,19,9,14,
Discho Carbon 8 1.20,3,28,9,19,5,42,19,9,13,
Head Velocity MLT 17,3,21,5,19,9,19,19,14,15,
Isospeed Black Fire S 1.25,3,28,42,33,14,19,28,28,21,
Marbello Eclipse 1.25,3,37,14,37,37,33,19,42,31,
Dyreex Squaron 1.25,3,19,14,28,9,14,42,14,16,
Kirschbaum Synthetic Gut 1.30,3,14,5,23,14,19,9,9,13,
RS Paris Octagon 1.20,3,28,23,23,33,28,23,28,27,2.00
Golden Set Snake-Bite 16,3,23,42,28,42,14,33,14,16,3.83
Wilson Synthetic Gut Control 16,3,5,42,9,19,28,42,14,9,3.06
Grapplesnake Hybrid Cube / Liquid 1.18 / 1.25,3,23,14,28,23,28,28,14,23,
Tier One Black Knight 1.28,3,14,9,19,5,23,14,23,15,2.44
Dyreex Super Tour 1.25,3,5,23,28,42,9,5,37,21,
Tecnifibre Poly Code 1.25,3,5,7,19,5,9,9,9,6,
Big Star Nexus RPM 35 1.25,3,19,19,14,28,28,23,21,22,
Discho Iontec Hexa 1.25,3,28,19,9,5,14,28,5,15,
Kirschbaum Max. Power 1.30,3,28,9,28,33,23,19,23,23,
Signum Pro Plasma HEXtreme 1.23,3,14,23,28,23,5,23,19,18,
Pro's Pro Superior Gut 1.32,3,42,9,14,28,37,5,28,17,
Dunlop S-Gut 1.22,3,14,9,14,19,19,9,42,8,2.75
Pacific Poly Force 18,3,42,9,19,14,5,14,7,10,1.27
Oehms Matador Strike 1.24,3,7,9,28,9,23,9,19,15,
Babolat SG SpiralTek 16L,3,5,5,14,23,19,5,19,11,3.56
Pro's Pro Hexaspin Twist 1.20,3,7,23,14,23,33,23,14,20,
Signum Pro Triton 1.24,3,14,42,23,42,42,19,9,9,
Discho Iontec Hexa 1.19,3,42,14,19,23,19,9,7,13,
Luxilon Big Banger Alu Power 1.20,3,42,9,19,33,14,28,7,16,1.57
Signum Pro Hyperion 1.30,3,23,23,19,14,9,14,28,19,2.18
Pro's Pro KUDETA 1.25,3,14,5,14,5,5,14,5,3,
Prince Recoil 17,3,14,14,5,23,23,9,42,9,0.48
Toalson Rencon Devil Spin 130 1.30,3,9,14,28,33,14,42,23,23,
Luxilon Adrenaline 1.30,3,14,42,19,14,14,14,14,13,
Genesis Hexonic 18L,3,9,42,23,19,23,33,19,18,3.77
Prince Tour XC 16L,3,7,42,23,28,28,28,14,18,2.60
Diadem Solstice Pro 16L,3,28,42,28,14,23,42,9,21,2.14
Solinco Outlast 18,3,23,9,14,9,42,5,14,8,1.38
Klip X-plosive 17/17,3,23,28,33,23,23,28,33,27,1.95
Tecnifibre Duramix HD 16,3,5,5,23,19,19,9,9,13,
Gosen Polylon SP 17,3,23,9,9,14,19,9,9,11,1.88
Gamma Solace 16,3,19,14,19,9,9,9,9,13,
Gamma Solace 17,3,42,9,19,23,5,14,9,11,
Pro's Pro Lethal Weapon 1.30,3,5,42,9,9,9,42,5,5,
Oehms Gold Clover Rough 1.18,3,9,42,23,14,9,23,14,13,
Babolat Origin 1.30,3,28,19,19,19,14,5,23,18,
Pro's Pro Nano Vendetta 1.25,3,14,5,9,42,5,5,5,5,
Challenger Pentaflex 1.24,3,14,23,19,28,33,28,7,22,
Signum Pro Fiber High Tec EXP 1.25,3,21,19,23,23,33,42,9,18,2.60
Signum Pro Poly Power 1.20,3,5,14,5,5,5,19,5,5,
Black Skull Samurai 1.25,3,42,14,9,19,19,14,14,13,
Pro's Pro Black Force 1.29,3,7,23,42,9,9,14,28,13,
Gosen Polylon Polybreak 17,3,28,14,9,42,9,9,9,6,1.00
Pro's Pro Lethal Spin 1.25,3,42,9,28,5,9,19,28,9,
Pacific Prime Gut 16,3,19,19,42,42,35,14,28,28,1.43
Isospeed Black Fire / Control+ 1.25/1.30,3,42,28,23,28,23,14,28,21,
Prince Overtime 15L,3,9,42,5,5,42,28,28,8,-3.67
Gamma Glide™ Hybrid w/ Moto 17/16,3,7,19,14,14,14,23,21,16,
Tecnifibre Synthetic Gut 15L,3,19,5,19,9,19,14,21,15,
One Strings Carbon NRG 1.22,3,42,14,19,14,5,5,9,1,
Dyreex Starblast 1.25,3,42,9,14,9,23,28,7,13,2.00
Discho RPM Power 1.25,3,21,14,14,9,9,28,9,15,
Wilson Ripspin 17,3,21,9,19,19,5,19,14,12,1.80
Kirschbaum Hybrix Crosses 1.25,3,14,23,23,33,28,5,19,21,
Wilson Stamina 17,3,9,5,5,9,19,9,9,3,0.80
Völkl V-Torque 16,3,14,5,14,14,23,23,21,11,1.60
Toalson Neo Natural mugen 130 Spin 1.30,3,42,19,9,23,33,23,42,9,0.65
Gamma Power Play 18,3,28,9,19,14,19,28,5,15,3.00
Babolat Synthetic Gut 1.35,3,7,5,9,5,14,5,14,3,
Tecnifibre Pro RedCode / X-One Biphase 17/17,3,21,5,37,37,37,5,35,19,
Solinco Barb Wire 16,3,21,19,5,5,42,37,21,15,
Xtennis Twister Triangle G-Force 1.25,3,1,5,14,42,9,28,14,9,
Solinco Tru Feel 16,3,7,9,28,33,37,14,28,20,
Ashaway Liberty 16,3,42,5,42,9,9,5,5,5,
Discho Black Spin 1.24,3,7,19,14,14,14,23,14,15,
Tyger X Spin 1.35,3,19,42,23,5,42,14,14,9,
Signum Pro Micronite 1.32,3,5,19,23,23,37,5,28,20,
Oehms Co-Poly Gen III White 1.25,3,19,9,19,5,7,14,19,13,
Oehms Black Pearl 1.26,3,14,14,19,9,23,14,14,15,
Tecnifibre TGV 1.30,3,42,5,19,28,37,5,28,17,
V.I.P. Ball Basher Grey 1.24,3,37,14,42,28,9,37,42,26,
Gosen Nanosilver 17,3,5,14,5,19,19,14,5,9,1.71
Pro's Pro Dyna Power 1.25,3,14,42,5,5,9,9,9,1,
Signum Pro Titanflex SF 1.30,3,14,9,5,5,23,42,7,4,0.71
V.I.P. Ball Basher Black 1.24,3,28,9,33,33,33,37,42,31,
Wilson Enduro Tour 16,3,42,42,5,14,23,5,42,5,0.67
Unique Tourna Poly Big Hitter Silver Rough 1.20,3,7,14,19,19,19,33,9,15,2.10
Tecnifibre Ti Syngut 1.35,3,7,5,14,19,23,42,9,10,
Extreme-Tennis Nando 1.25,3,14,19,19,23,14,9,19,17,
Pacific Power Hybrid 1.24/1.28,3,21,9,23,28,5,9,21,17,
Luxilon Savage White 1.27,3,23,23,19,14,14,19,23,15,1.69
Toalson Ivory 15L,3,7,9,14,9,21,9,9,9,
Kirschbaum Synthetic Gut Premium 1.25,3,42,14,9,14,19,5,7,10,
Blindtest String18 1.20,3,7,9,14,14,19,9,14,12,
Isospeed Strings for Haiti 1.35,3,19,14,23,23,28,9,14,19,
Blindtest String18 1.30,3,23,28,5,14,19,19,5,16,
Tennisoutlet Black Spider 1.25,3,14,14,14,19,14,19,42,13,
Tecnifibre NRG2 1.18,3,42,23,23,23,19,9,21,17,1.85
Topspin Polytech 1.20,3,19,42,28,28,14,19,7,14,
Performaxx Whisper Touch 1.20,3,42,19,28,42,42,14,14,23,
Gamma Live Wire 16,3,14,14,19,33,28,42,7,12,1.50
Babolat XCel Power 16,3,7,9,14,23,33,42,9,12,
Performaxx High Tension 1.25,3,14,19,28,33,33,14,28,20,
Dunlop Comfort Synthetic 16,3,19,5,23,14,28,9,23,17,
Tyger Pro Dzeta XD 1.33,3,42,9,19,28,28,9,5,10,
Bow Brand Championship Natural Gut 15L,3,5,14,28,33,33,9,14,18,1.13
Pro's Pro Lethal 8 1.27,3,23,5,42,9,9,14,9,5,
Luxilon Monotec Super Poly 16,3,14,14,19,42,5,5,19,8,2.20
Head C³ Rocket 16,3,9,42,14,5,9,9,5,5,0.54
MSV Hepta-TWIST 1.30,3,19,5,33,9,19,42,23,21,2.73
Pro's Pro Gold Power 1.18,3,19,19,23,23,23,14,28,21,
Tyger Accelerate 1.20,3,14,14,5,9,19,19,7,2,-0.31
Pro's Pro Solar 1.30,3,9,14,5,42,14,42,9,7,
Kirschbaum Touch Multifibre New Formula 1.15,3,35,37,23,28,37,19,21,19,
Pro's Pro Silver Twist 1.33,3,9,5,19,14,33,9,14,11,
Pro's Pro Poly Spin 1.33,3,28,5,9,5,5,19,7,8,
Alpha Vengeance 17,3,5,5,9,14,14,42,42,5,1.60
Prince Hybrid Power EXP 17/16,3,19,5,28,14,19,14,28,18,2.00
Pro's Pro Ultimate Fiber 1.35,3,21,5,23,14,42,14,23,13,
Pro's Pro Revoltec 1.22,3,23,19,14,14,42,14,14,14,
Kirschbaum Hybrix Spin 1.25/1.30,3,19,23,23,19,19,33,14,21,
Polyfibre Viper 1.20,3,5,5,19,14,14,42,14,10,1.08
Ashaway Kevlar 18,3,33,33,37,9,9,37,9,15,
Signum Pro Plasma HEXtreme 1.30,3,28,9,14,5,14,19,14,15,
Extreme-Tennis Nando 1.18,3,5,28,14,23,23,42,5,14,
Gosen OG-Sheep Pro Form Tuff 16,3,14,5,42,9,5,5,42,1,1.18
Kirschbaum Hybrix Spin 1.30/1.30,3,5,9,28,23,19,23,23,19,
Pro's Pro Concept 1.25,3,14,5,28,14,19,19,33,17,
Gosen Biogut Poly Multi 16,3,5,9,5,9,14,14,9,5,-1.00
Polystar Turbo 1.30,3,23,9,28,19,19,33,9,20,
Pro's Pro Synergy 1.30,3,1,5,19,14,19,5,19,6,
Oehms 5-Kant 1.24,3,14,23,23,19,14,28,14,19,
Babolat Hybrid Pro Hurricane + Conquest 1.25/1.25,3,9,14,28,19,28,28,9,19,
Unique Tourna Poly Big Hitter Blue 1.20,3,7,9,19,14,5,19,5,11,2.29
Pacific Poly Power Comp 16L,3,1,5,42,5,5,42,1,1,
Pacific Futura TS 16,3,14,5,19,5,7,42,7,5,
Gamma Synthetic Gut 18,3,9,42,14,5,7,7,7,7,2.50
Oehms Co-Poly Gen III Red 1.17,3,42,5,19,5,5,23,14,10,
Wilson Sensation Supreme 17,3,5,14,9,28,23,19,9,14,3.33
Signum Pro Tornado/Hyperion 1.23/1.24,3,42,9,23,9,9,33,37,23,
Luxilon Big Banger Ace Touch 18/16L,3,23,9,28,28,23,19,21,22,2.07
Wilson Extreme Nylon 15L,3,9,9,42,5,5,9,14,3,-2.50
Leopard Plus Control 17,3,19,14,33,28,19,14,23,21,2.50
Pacific Prime Gut 17,3,5,23,23,28,42,14,19,21,1.07
Pro's Pro Super Power / Vendetta 1.30,3,19,19,5,14,23,23,5,15,
Pacific Power Star 3 16,3,19,23,23,9,14,14,42,15,
Head Tournament 1.30,3,9,9,42,5,14,14,19,10,4.67
Dunlop Plus Pro 1.20,3,7,5,5,9,14,14,21,11,
Target Fluid Fibre 1.33,3,42,14,23,19,37,14,5,16,
Alpha Gut 2000 17,3,5,19,14,28,28,7,42,13,3.17
Tecnifibre X-R3 1.25,3,21,23,14,14,28,9,21,13,1.44
Babolat Challenge Pro 16,3,9,5,5,14,14,5,23,9,
Dunlop Match 1.25,3,1,14,23,33,33,5,14,16,
Pro Supex Matrix Hybrid 1.22/1.30,3,5,23,19,33,33,9,23,19,
Signum Pro Ultra Power SF 1.28,3,5,19,19,19,23,5,14,13,2.11
Pacific Poly Soft 16L,3,28,42,19,14,14,19,5,14,3.33
Head FiberGel Power 1.20,3,42,19,42,42,19,23,19,11,1.78
Prince Polygut 16,3,28,42,14,5,5,42,7,7,2.00
MSV Big Poly 1.28,3,21,19,5,5,5,14,5,4,
Kirschbaum P² 1.30,3,19,23,28,5,5,14,14,15,
Pro's Pro Powercable 1.29,3,5,14,5,9,23,5,7,8,
Pacific Poly Power 16,3,14,14,9,14,19,19,9,10,2.33
